,fips,number_rivers_and_streams,length_of_rivers_and_streams
0,01001,9,235.04
1,01003,31,652.16
2,01005,17,344.38
3,01007,16,289.08
4,01009,15,322.44
5,01011,16,205.19
6,01013,8,268.29
7,01015,9,239.72
8,01017,15,203.58
9,01019,13,290.16
10,01021,18,310.61
11,01023,16,413.54
12,01025,23,543.07
13,01027,12,223.32
14,01029,11,183.55
15,01031,10,188.91
16,01033,9,216.06
17,01035,11,217.01
18,01037,9,272.97
19,01039,11,301.59
20,01041,9,186.05
21,01043,18,408.81
22,01045,11,202.5
23,01047,22,545.14
24,01049,15,363.44
25,01051,17,327.63
26,01053,21,319.06
27,01055,8,257.72
28,01057,14,204.44
29,01059,6,284.7
30,01061,14,245.73
31,01063,6,311.54
32,01065,10,267.43
33,01067,8,132.76
34,01069,9,147.92
35,01071,20,421.64
36,01073,12,582.39
37,01075,11,240.73
38,01077,10,316.2
39,01079,17,300.14
40,01081,13,210.97
41,01083,8,292.51
42,01085,12,241.93
43,01087,13,251.28
44,01089,13,362.92
45,01091,16,383.11
46,01093,18,344.2
47,01095,19,290.53
48,01097,20,424.8
49,01099,16,398.9
50,01101,16,315.6
51,01103,10,243.35
52,01105,18,300.9
53,01107,12,377.43
54,01109,13,209.33
55,01111,14,327.76
56,01113,13,291.37
57,01115,10,328.03
58,01117,11,276.23
59,01119,17,431.45
60,01121,10,299.26
61,01123,10,275.52
62,01125,15,551.86
63,01127,8,369.68
64,01129,18,436.23
65,01131,20,457.03
66,01133,12,348.41
67,04001,79,2442.3
68,04003,18,652.79
69,04005,84,2950.22
70,04007,72,1709.14
71,04009,45,1115.76
72,04011,25,506.3
73,04012,19,646.89
74,04013,56,1919.82
75,04015,61,2055.8
76,04017,58,1937.07
77,04019,64,1617.41
78,04021,34,957.57
79,04023,7,201.69
80,04025,89,2288.44
81,04027,25,687.3
82,05001,9,385.3
83,05003,19,409.27
84,05005,7,174.85
85,05007,11,284.33
86,05009,8,212.83
87,05011,12,318.37
88,05013,9,256.6
89,05015,9,285.63
90,05017,9,329.02
91,05019,16,471.07
92,05021,13,211.28
93,05023,16,313.11
94,05025,11,231.23
95,05027,15,325.53
96,05029,12,254.92
97,05031,7,118.13
98,05033,13,278.29
99,05035,2,29.38
100,05037,7,195.44
101,05039,11,197.69
102,05041,12,299.4
103,05043,16,339.53
104,05045,22,391.47
105,05047,12,208.77
106,05049,14,303.36
107,05051,16,288.28
108,05053,12,253.51
109,05055,9,116.32
110,05057,20,311.93
111,05059,13,238.01
112,05061,21,325.2
113,05063,19,392.35
114,05065,9,195.3
115,05067,18,359.37
116,05069,19,449.48
117,05071,13,254.91
118,05073,9,214.05
119,05075,16,302.19
120,05077,11,267.53
121,05079,8,261.15
122,05081,16,349.59
123,05083,11,278.8
124,05085,12,335.28
125,05087,11,285.24
126,05089,8,262.11
127,05091,13,312.6
128,05093,7,156.66
129,05095,15,379.16
130,05097,21,435.58
131,05099,15,244.03
132,05101,21,366.92
133,05103,15,351.09
134,05105,16,302.29
135,05107,12,326.42
136,05109,12,266.53
137,05111,9,242.59
138,05113,29,423.77
139,05115,16,324.77
140,05117,15,320.16
141,05119,21,381.79
142,05121,12,314.91
143,05123,9,206.8
