,fips,number_rivers_and_streams
0,1001,9
1,1003,32
2,1005,17
3,1007,16
4,1009,15
5,1011,16
6,1013,8
7,1015,9
8,1017,15
9,1019,13
10,1021,18
11,1023,17
12,1025,23
13,1027,12
14,1029,11
15,1031,10
16,1033,9
17,1035,11
18,1037,9
19,1039,11
20,1041,9
21,1043,18
22,1045,11
23,1047,22
24,1049,15
25,1051,18
26,1053,21
27,1055,8
28,1057,14
29,1059,6
30,1061,14
31,1063,6
32,1065,10
33,1067,8
34,1069,9
35,1071,20
36,1073,12
37,1075,11
38,1077,10
39,1079,17
40,1081,13
41,1083,8
42,1085,12
43,1087,13
44,1089,13
45,1091,16
46,1093,18
47,1095,19
48,1097,20
49,1099,16
50,1101,18
51,1103,10
52,1105,18
53,1107,12
54,1109,13
55,1111,14
56,1113,13
57,1115,10
58,1117,11
59,1119,17
60,1121,10
61,1123,10
62,1125,15
63,1127,8
64,1129,19
65,1131,20
66,1133,12
67,4001,79
68,4003,18
69,4005,84
70,4007,72
71,4009,47
72,4011,25
73,4012,19
74,4013,57
75,4015,61
76,4017,58
77,4019,64
78,4021,34
79,4023,7
80,4025,90
81,4027,25
82,5001,10
83,5003,19
84,5005,7
85,5007,11
86,5009,8
87,5011,12
88,5013,9
89,5015,9
90,5017,9
91,5019,16
92,5021,13
93,5023,16
94,5025,11
95,5027,15
96,5029,12
97,5031,7
98,5033,13
99,5035,2
100,5037,7
101,5039,12
102,5041,12
103,5043,16
104,5045,22
105,5047,13
106,5049,14
107,5051,16
108,5053,12
109,5055,9
110,5057,20
111,5059,13
112,5061,21
113,5063,19
114,5065,9
115,5067,18
116,5069,19
117,5071,13
118,5073,9
119,5075,17
120,5077,11
121,5079,8
122,5081,17
123,5083,11
124,5085,12
125,5087,11
126,5089,8
127,5091,13
128,5093,7
129,5095,15
130,5097,21
131,5099,15
132,5101,21
133,5103,15
134,5105,16
135,5107,12
136,5109,12
137,5111,9
138,5113,30
139,5115,16
140,5117,15
141,5119,21
142,5121,12
143,5123,9
144,5125,19
145,5127,15
146,5129,10
147,5131,14
148,5133,16
149,5135,12
150,5137,16
151,5139,19
152,5141,15
153,5143,20
154,5145,23
155,5147,15
156,5149,13
157,6001,18
158,6003,13
159,6005,19
160,6007,31
161,6009,25
162,6011,24
163,6013,10
164,6015,24
165,6017,35
166,6019,49
167,6021,26
168,6023,40
169,6025,27
170,6027,38
171,6029,21
172,6031,5
173,6033,12
174,6035,37
175,6037,24
176,6039,26
177,6041,10
178,6043,22
179,6045,50
180,6047,22
181,6049,50
182,6051,41
183,6053,42
184,6055,18
185,6057,24
186,6059,12
187,6061,20
188,6063,46
189,6065,35
190,6067,19
191,6069,30
192,6071,42
193,6073,41
194,6075,0
195,6077,14
196,6079,44
197,6081,10
198,6083,20
199,6085,34
200,6087,14
201,6089,61
202,6091,15
203,6093,48
204,6095,14
205,6097,21
206,6099,19
207,6101,9
208,6103,53
209,6105,44
210,6107,48
211,6109,42
212,6111,20
213,6113,11
214,6115,13
215,8003,5
216,8005,20
217,8007,23
218,8009,18
219,8011,13
220,8015,15
221,8017,16
222,8019,11
223,8021,16
224,8023,18
225,8025,4
226,8027,17
227,8029,32
228,8031,74
229,8033,14
230,8035,17
231,8037,20
232,8039,30
233,8041,29
234,8043,19
235,8045,66
236,8047,5
237,8049,31
238,8051,54
239,8053,22
240,8055,20
241,8057,35
242,8061,7
243,8063,16
244,8065,8
245,8067,16
246,8069,48
247,8071,44
248,8073,25
249,8075,16
250,8077,38
251,8079,18
252,8081,46
253,8083,26
254,8085,32
255,8087,11
256,8089,12
257,8091,12
258,8093,28
259,8095,5
260,8097,14
261,8099,11
262,8101,29
263,8103,65
264,8105,13
265,8107,56
266,8109,42
267,8111,5
268,8113,21
269,8115,4
270,8117,6
271,8119,16
272,8121,17
273,8125,10
274,9001,20
275,9003,37
276,9005,34
277,9007,21
278,9009,20
279,9011,38
280,9013,24
281,9015,22
282,10001,28
283,10003,13
284,10005,31
285,11001,3
286,12001,6
287,12003,9
288,12005,19
289,12007,3
290,12009,7
291,12011,6
292,12013,14
293,12015,14
294,12017,5
295,12019,14
296,12021,7
297,12023,7
298,12027,11
299,12029,6
300,12031,9
301,12033,17
302,12035,8
303,12037,10
304,12039,15
305,12041,2
306,12043,14
307,12045,15
308,12047,7
309,12049,14
310,12051,9
311,12053,3
312,12055,17
313,12057,32
314,12059,8
315,12061,3
316,12063,14
317,12065,7
318,12067,6
319,12069,10
320,12071,10
321,12073,4
322,12075,9
323,12077,17
324,12079,5
325,12081,25
326,12083,8
327,12085,5
328,12086,8
329,12087,19
330,12089,8
331,12091,15
332,12093,10
333,12095,10
334,12097,19
335,12099,12
336,12101,7
337,12103,2
338,12105,32
339,12107,9
340,12109,13
341,12111,6
342,12113,18
343,12115,12
344,12117,5
345,12119,7
346,12121,6
347,12123,7
348,12125,6
349,12127,8
350,12129,6
351,12131,27
352,12133,10
353,13001,11
354,13003,8
355,13005,3
356,13007,7
357,13009,3
358,13011,6
359,13013,5
360,13015,15
361,13017,7
362,13019,8
363,13021,5
364,13023,5
365,13025,4
366,13027,5
367,13029,11
368,13031,8
369,13033,9
370,13035,6
371,13037,6
372,13039,9
373,13043,4
374,13045,11
375,13047,6
376,13049,11
377,13051,8
378,13053,7
379,13055,9
380,13057,10
381,13059,4
382,13061,7
383,13063,3
384,13065,6
385,13067,4
386,13069,11
387,13071,7
388,13073,5
389,13075,5
390,13077,13
391,13079,6
392,13081,6
393,13083,3
394,13085,4
395,13087,7
396,13089,6
397,13091,9
398,13093,10
399,13095,6
400,13097,7
401,13099,9
402,13101,5
403,13103,8
404,13105,11
405,13107,10
406,13109,3
407,13111,11
408,13113,4
409,13115,12
410,13117,7
411,13119,11
412,13121,15
413,13123,8
414,13125,5
415,13127,7
416,13129,11
417,13131,8
418,13133,9
419,13135,12
420,13137,11
421,13139,15
422,13141,9
423,13143,5
424,13145,10
425,13147,11
426,13149,4
427,13151,9
428,13153,7
429,13155,10
430,13157,8
431,13159,7
432,13161,10
433,13163,6
434,13165,6
435,13167,6
436,13169,10
437,13171,10
438,13173,5
439,13175,13
440,13177,7
441,13179,10
442,13181,4
443,13183,6
444,13185,7
445,13187,7
446,13189,9
447,13191,13
448,13193,8
449,13195,11
450,13197,6
451,13199,17
452,13201,7
453,13205,6
454,13207,11
455,13209,8
456,13211,10
457,13213,8
458,13215,7
459,13217,11
460,13219,5
461,13221,11
462,13223,6
463,13225,5
464,13227,6
465,13229,10
466,13231,4
467,13233,7
468,13235,7
469,13237,7
470,13239,4
471,13241,8
472,13243,11
473,13245,10
474,13247,5
475,13249,4
476,13251,7
477,13253,4
478,13255,8
479,13257,5
480,13259,9
481,13261,10
482,13263,11
483,13265,8
484,13267,11
485,13269,6
486,13271,6
487,13273,7
488,13275,11
489,13277,7
490,13279,7
491,13281,3
492,13283,7
493,13285,8
494,13287,5
495,13289,10
496,13291,14
497,13293,10
498,13295,18
499,13297,9
500,13299,9
501,13301,10
502,13303,10
503,13305,10
504,13307,5
505,13309,6
506,13311,9
507,13313,8
508,13315,9
509,13317,13
510,13319,9
511,13321,11
512,16001,11
513,16003,27
514,16005,21
515,16007,12
516,16009,21
517,16011,10
518,16013,36
519,16015,31
520,16017,42
521,16019,28
522,16021,25
523,16023,22
524,16025,24
525,16027,7
526,16029,17
527,16031,21
528,16033,32
529,16035,50
530,16037,77
531,16039,47
532,16041,11
533,16043,24
534,16045,6
535,16047,10
536,16049,132
537,16051,4
538,16053,2
539,16055,35
540,16057,16
541,16059,72
542,16061,10
543,16063,4
544,16065,9
545,16067,2
546,16069,17
547,16071,9
548,16073,88
549,16075,6
550,16077,13
551,16079,54
552,16081,9
553,16083,17
554,16085,54
555,16087,27
556,17001,11
557,17003,8
558,17005,10
559,17007,6
560,17009,4
561,17011,12
562,17013,4
563,17015,16
564,17017,8
565,17019,13
566,17021,10
567,17023,9
568,17025,14
569,17027,13
570,17029,12
571,17031,18
572,17033,12
573,17035,10
574,17037,13
575,17039,3
576,17041,8
577,17043,6
578,17045,14
579,17047,12
580,17049,13
581,17051,21
582,17053,13
583,17055,8
584,17057,14
585,17059,7
586,17061,6
587,17063,15
588,17065,15
589,17067,16
590,17069,5
591,17071,10
592,17073,12
593,17075,18
594,17077,15
595,17079,11
596,17081,15
597,17083,4
598,17085,14
599,17087,13
600,17089,10
601,17091,14
602,17093,12
603,17095,12
604,17097,7
605,17099,14
606,17101,11
607,17103,10
608,17105,13
609,17107,7
610,17109,10
611,17111,10
612,17113,9
613,17115,5
614,17117,18
615,17119,17
616,17121,11
617,17123,5
618,17125,9
619,17127,6
620,17129,6
621,17131,10
622,17133,8
623,17135,16
624,17137,12
625,17139,10
626,17141,14
627,17143,9
628,17145,11
629,17147,3
630,17149,14
631,17151,6
632,17153,7
633,17155,3
634,17157,11
635,17159,12
636,17161,9
637,17163,13
638,17165,9
639,17167,12
640,17169,8
641,17171,4
642,17173,20
643,17175,5
644,17177,9
645,17179,8
646,17181,11
647,17183,15
648,17185,7
649,17187,10
650,17189,20
651,17191,21
652,17193,17
653,17195,11
654,17197,23
655,17199,11
656,17201,14
657,17203,8
658,18001,5
659,18003,14
660,18005,13
661,18007,8
662,18009,4
663,18011,11
664,18013,6
665,18015,9
666,18017,9
667,18019,4
668,18021,6
669,18023,9
670,18025,10
671,18027,14
672,18029,13
673,18031,8
674,18033,10
675,18035,10
676,18037,19
677,18039,11
678,18041,6
679,18043,6
680,18045,8
681,18047,13
682,18049,5
683,18051,13
684,18053,5
685,18055,12
686,18057,12
687,18059,6
688,18061,8
689,18063,9
690,18065,11
691,18067,8
692,18069,10
693,18071,15
694,18073,8
695,18075,7
696,18077,8
697,18079,9
698,18081,14
699,18083,10
700,18085,8
701,18087,8
702,18089,10
703,18091,10
704,18093,11
705,18095,8
706,18097,12
707,18099,4
708,18101,8
709,18103,10
710,18105,11
711,18107,12
712,18109,14
713,18111,5
714,18113,8
715,18115,3
716,18117,10
717,18119,14
718,18121,8
719,18123,11
720,18125,9
721,18127,11
722,18129,11
723,18131,7
724,18133,11
725,18135,12
726,18137,14
727,18139,12
728,18141,6
729,18143,8
730,18145,10
731,18147,15
732,18149,5
733,18151,6
734,18153,8
735,18155,6
736,18157,11
737,18159,8
738,18161,4
739,18163,5
740,18165,5
741,18167,9
742,18169,7
743,18171,7
744,18173,10
745,18175,18
746,18177,10
747,18179,6
748,18181,12
749,18183,10
750,19001,12
751,19003,7
752,19005,9
753,19007,10
754,19009,6
755,19011,11
756,19013,11
757,19015,5
758,19017,9
759,19019,13
760,19021,9
761,19023,9
762,19025,9
763,19027,10
764,19029,7
765,19031,8
766,19033,9
767,19035,7
768,19037,8
769,19039,6
770,19041,7
771,19043,8
772,19045,11
773,19047,8
774,19049,10
775,19051,12
776,19053,9
777,19055,7
778,19057,7
779,19059,3
780,19061,10
781,19063,5
782,19065,11
783,19067,7
784,19069,9
785,19071,10
786,19073,9
787,19075,3
788,19077,10
789,19079,10
790,19081,7
791,19083,7
792,19085,14
793,19087,7
794,19089,8
795,19091,6
796,19093,5
797,19095,8
798,19097,13
799,19099,8
800,19101,8
801,19103,6
802,19105,9
803,19107,8
804,19109,7
805,19111,8
806,19113,11
807,19115,9
808,19117,8
809,19119,9
810,19121,9
811,19123,10
812,19125,10
813,19127,12
814,19129,8
815,19131,5
816,19133,13
817,19135,10
818,19137,9
819,19139,9
820,19141,11
821,19143,6
822,19145,9
823,19147,9
824,19149,20
825,19151,8
826,19153,11
827,19155,16
828,19157,11
829,19159,10
830,19161,6
831,19163,10
832,19165,11
833,19167,15
834,19169,11
835,19171,8
836,19173,9
837,19175,10
838,19177,7
839,19179,6
840,19181,10
841,19183,10
842,19185,12
843,19187,11
844,19189,7
845,19191,9
846,19193,16
847,19195,5
848,19197,10
849,20001,12
850,20003,11
851,20005,14
852,20007,28
853,20009,16
854,20011,9
855,20013,10
856,20015,32
857,20017,21
858,20019,12
859,20021,11
860,20023,7
861,20025,22
862,20027,14
863,20029,19
864,20031,11
865,20033,18
866,20035,16
867,20037,7
868,20039,9
869,20041,13
870,20043,7
871,20045,10
872,20047,5
873,20049,15
874,20051,5
875,20053,14
876,20055,4
877,20057,15
878,20059,10
879,20061,15
880,20063,8
881,20065,6
882,20067,5
883,20069,7
884,20071,3
885,20073,24
886,20075,4
887,20077,19
888,20079,13
889,20081,2
890,20083,14
891,20085,14
892,20087,15
893,20089,22
894,20091,11
895,20093,2
896,20095,15
897,20097,13
898,20099,11
899,20101,8
900,20103,10
901,20105,16
902,20107,7
903,20109,10
904,20111,22
905,20113,16
906,20115,20
907,20117,13
908,20119,10
909,20121,9
910,20123,19
911,20125,11
912,20127,19
913,20129,2
914,20131,18
915,20133,11
916,20135,19
917,20137,7
918,20139,7
919,20141,16
920,20143,17
921,20145,10
922,20147,12
923,20149,9
924,20151,12
925,20153,11
926,20155,23
927,20157,15
928,20159,12
929,20161,15
930,20163,6
931,20165,13
932,20167,16
933,20169,10
934,20171,4
935,20173,24
936,20175,1
937,20177,11
938,20179,10
939,20181,11
940,20183,17
941,20185,7
942,20187,6
943,20189,2
944,20191,19
945,20193,9
946,20195,7
947,20197,22
948,20199,11
949,20201,17
950,20203,5
951,20205,9
952,20207,10
953,20209,3
954,21001,13
955,21003,9
956,21005,5
957,21007,8
958,21009,10
959,21011,7
960,21013,16
961,21015,11
962,21017,12
963,21019,4
964,21021,7
965,21023,10
966,21025,8
967,21027,20
968,21029,10
969,21031,16
970,21033,13
971,21035,12
972,21037,6
973,21039,7
974,21041,9
975,21043,12
976,21045,13
977,21047,22
978,21049,9
979,21051,11
980,21053,8
981,21055,11
982,21057,11
983,21059,9
984,21061,10
985,21063,12
986,21065,7
987,21067,9
988,21069,7
989,21071,12
990,21073,10
991,21075,8
992,21077,8
993,21079,8
994,21081,12
995,21083,12
996,21085,15
997,21087,10
998,21089,12
999,21091,10
1000,21093,19
1001,21095,12
1002,21097,10
1003,21099,5
1004,21101,13
1005,21103,14
1006,21105,8
1007,21107,16
1008,21109,11
1009,21111,11
1010,21113,7
1011,21115,8
1012,21117,7
1013,21119,9
1014,21121,11
1015,21123,11
1016,21125,14
1017,21127,12
1018,21129,6
1019,21131,7
1020,21133,8
1021,21135,10
1022,21137,9
1023,21139,10
1024,21141,15
1025,21143,5
1026,21145,11
1027,21147,10
1028,21149,5
1029,21151,11
1030,21153,5
1031,21155,7
1032,21157,7
1033,21159,9
1034,21161,6
1035,21163,8
1036,21165,9
1037,21167,6
1038,21169,10
1039,21171,15
1040,21173,6
1041,21175,13
1042,21177,13
1043,21179,18
1044,21181,9
1045,21183,15
1046,21185,8
1047,21187,13
1048,21189,5
1049,21191,12
1050,21193,9
1051,21195,19
1052,21197,5
1053,21199,15
1054,21201,4
1055,21203,11
1056,21205,8
1057,21207,7
1058,21209,11
1059,21211,13
1060,21213,4
1061,21215,8
1062,21217,6
1063,21219,11
1064,21221,11
1065,21223,7
1066,21225,9
1067,21227,19
1068,21229,9
1069,21231,7
1070,21233,10
1071,21235,13
1072,21237,6
1073,21239,7
1074,22001,15
1075,22003,20
1076,22005,9
1077,22007,5
1078,22009,20
1079,22011,25
1080,22013,19
1081,22015,13
1082,22017,24
1083,22019,25
1084,22021,11
1085,22023,9
1086,22025,24
1087,22027,17
1088,22029,12
1089,22031,28
1090,22033,10
1091,22035,4
1092,22037,19
1093,22039,16
1094,22041,15
1095,22043,20
1096,22045,5
1097,22047,8
1098,22049,15
1099,22051,3
1100,22053,19
1101,22055,7
1102,22057,11
1103,22059,25
1104,22061,12
1105,22063,21
1106,22065,8
1107,22067,11
1108,22069,44
1109,22071,5
1110,22073,13
1111,22075,2
1112,22077,13
1113,22079,37
1114,22081,10
1115,22083,9
1116,22085,31
1117,22087,3
1118,22089,4
1119,22091,13
1120,22093,7
1121,22095,5
1122,22097,17
1123,22099,14
1124,22101,8
1125,22103,15
1126,22105,23
1127,22107,8
1128,22109,7
1129,22111,16
1130,22113,14
1131,22115,34
1132,22117,13
1133,22119,14
1134,22121,8
1135,22123,5
1136,22125,10
1137,22127,32
1138,23001,16
1139,23003,158
1140,23005,33
1141,23007,41
1142,23009,40
1143,23011,16
1144,23013,8
1145,23015,15
1146,23017,56
1147,23019,95
1148,23021,107
1149,23023,8
1150,23025,93
1151,23027,22
1152,23029,63
1153,23031,33
1154,24001,19
1155,24003,10
1156,24005,12
1157,24009,4
1158,24011,7
1159,24013,16
1160,24015,14
1161,24017,8
1162,24019,11
1163,24021,17
1164,24023,18
1165,24025,9
1166,24027,6
1167,24029,5
1168,24031,13
1169,24033,12
1170,24035,6
1171,24037,8
1172,24039,8
1173,24041,3
1174,24043,21
1175,24045,15
1176,24047,11
1177,25001,6
1178,25003,45
1179,25005,17
1180,25007,0
1181,25009,15
1182,25011,28
1183,25013,38
1184,25015,28
1185,25017,32
1186,25019,0
1187,25021,13
1188,25023,19
1189,25025,2
1190,25027,66
1191,26001,22
1192,26003,14
1193,26005,16
1194,26007,16
1195,26009,8
1196,26011,6
1197,26013,27
1198,26015,14
1199,26017,10
1200,26019,3
1201,26021,11
1202,26023,12
1203,26025,15
1204,26027,9
1205,26029,7
1206,26031,12
1207,26033,19
1208,26035,13
1209,26037,12
1210,26039,10
1211,26041,16
1212,26043,17
1213,26045,12
1214,26047,6
1215,26049,17
1216,26051,14
1217,26053,29
1218,26055,10
1219,26057,9
1220,26059,17
1221,26061,17
1222,26063,11
1223,26065,14
1224,26067,17
1225,26069,16
1226,26071,36
1227,26073,12
1228,26075,13
1229,26077,13
1230,26079,5
1231,26081,21
1232,26083,13
1233,26085,10
